listing_id,date
183804,2018-08-02
183804,2018-08-03
183804,2018-08-03
183804,2018-08-04
183804,2018-08-05
183804,2018-08-05
183804,2018-08-06
183804,2018-08-07
183804,2018-08-07
183804,2018-08-07
183804,2018-08-09
183804,2018-08-09
183804,2018-08-10
183804,2018-08-10
183804,2018-08-11
183804,2018-08-11
183804,2018-08-12
183804,2018-08-13
183804,2018-08-16
183804,2018-08-20
183804,2018-08-20
183804,2018-08-20
183804,2018-08-23
183804,2018-08-23
183804,2018-08-25
183804,2018-08-26
183804,2018-08-26
183804,2018-08-28
183804,2018-08-28
183804,2018-08-28
183804,2018-09-01
183804,2018-09-02
183804,2018-09-02
183804,2018-09-02
183804,2018-09-03
183804,2018-09-03
183804,2018-09-03
183804,2018-09-04
183804,2018-09-04
183804,2018-09-06
183804,2018-09-06
183804,2018-09-06
183804,2018-09-06
183804,2018-09-06
183804,2018-09-08
183804,2018-09-08
183804,2018-09-08
